key;date;sessionKey;statsSessionId;licenceEstPremium;androidVersion;page;composantUI;cheminNavigation;nombreCmpsntUINonDstnctVisites;nombrePages;nbUiAidesOuverts;
-Lxl8pSPynGKnku9p4Ma;4-1-2020 11:53:21;;-Lxl8pSPynGKnku9p4Ma;;;app.component;initApp;;;;
-Lxl8r6aMXyOBS0sKwVV;4-1-2020 11:53:28;;-Lxl8pSPynGKnku9p4Ma;;;PrevisionsPage;barreRechSaisir;;;;
-Lxl8rlcYybPcMNkvg07;4-1-2020 11:53:30;;-Lxl8pSPynGKnku9p4Ma;;;PrevisionsPage;btnGeoloc;;;;
-Lxl9-b69afdk1Eu7WTp;4-1-2020 11:54:6;;-Lxl8pSPynGKnku9p4Ma;;;PrevisionsPage;btnMenu;;;;
-Lxl92iBtNOSe8tOScit;4-1-2020 11:54:19;-Lxl8pV9D3U6lOr7u7hP;-Lxl8pSPynGKnku9p4Ma;false;9;StationsFavoritesModal;btnFermer;app.component>PrevisionsPage>StationsFavoritesModal;4;2;0
-Lxl9EN4dmC2PbTg84Sz;4-1-2020 11:55:12;-Lxl9FghWArTR7zbbrSr;-Lxl9EN4dmC2PbTg84Sz;false;9;app.component;initApp;app.component;0;0;0
-LyDo6bJ24rxWqKoon4Y;10-1-2020 10:37:6;;-LyDo6bJ24rxWqKoon4Y;;;app.component;initApp;;;;
-LyDo8r9qp2yigcDb7C5;10-1-2020 10:37:15;;-LyDo6bJ24rxWqKoon4Y;;;TutorielPage;btnSuivant;;;;
-LyDo9HO7DfGRAnOTZJH;10-1-2020 10:37:16;;-LyDo6bJ24rxWqKoon4Y;;;TutorielPage;btnSuivant;;;;
-LyDoAqsDjWEIgHblRLD;10-1-2020 10:37:23;;-LyDo6bJ24rxWqKoon4Y;;;TutorielPage;btnFinirTuto;;;;
-LyDoI6lpy2ai5PlD8pG;10-1-2020 10:37:53;;-LyDo6bJ24rxWqKoon4Y;;;PrevisionsPage;btnMenu;;;;
-LyDoK4_N9O7q2ZvOX7f;10-1-2020 10:38:1;;-LyDo6bJ24rxWqKoon4Y;;;StationsFavoritesModal;btnFermer;;;;
-LyDoKh-N0yXmup1FIGC;10-1-2020 10:38:3;-LyDo6dDvWKEcOjt-_ol;-LyDo6bJ24rxWqKoon4Y;false;7.0;PrevisionsPage;btnGeoloc;app.component>TutorielPage>PrevisionsPage>StationsFavoritesModal>PrevisionsPage;6;4;0
-LyEGTlYBvUCrKeN2HrI;10-1-2020 12:45:50;;-LyEGTlYBvUCrKeN2HrI;;;app.component;initApp;;;;
-LyEGUkB-musQoRs9SXy;10-1-2020 12:45:54;;-LyEGTlYBvUCrKeN2HrI;;;TutorielPage;btnSuivant;;;;
-LyEGV-3Frr96y24VVjM;10-1-2020 12:45:55;;-LyEGTlYBvUCrKeN2HrI;;;TutorielPage;btnSuivant;;;;
-LyEGYfm273MI4mBQr0b;10-1-2020 12:46:10;;-LyEGTlYBvUCrKeN2HrI;;;TutorielPage;btnFinirTuto;;;;
-LyEGd5XvI3qyAbDLD35;10-1-2020 12:46:32;;-LyEGTlYBvUCrKeN2HrI;;;PrevisionsPage;btnGeoloc;;;;
